,Name,Size,Coord,Direction,Color
45,"('Scarlett', 0.24392812479431317)",21,"(744, 348)",,"rgb(252, 200, 195)"
46,"('Angelina', 0.24241426972948069)",18,"(359, 351)",,"rgb(116, 1, 117)"
47,"('Lily', 0.2418218916606332)",18,"(664, 110)",,"rgb(76, 0, 107)"
48,"('Layla', 0.2410320542355032)",18,"(572, 206)",,"rgb(99, 1, 113)"
49,"('Aaliyah', 0.23293622062792074)",18,"(296, 470)",2.0,"rgb(251, 169, 184)"
50,"('Melanie', 0.23254130191535577)",18,"(89, 277)",2.0,"rgb(250, 155, 180)"
51,"('Sophie', 0.23010596985453827)",18,"(285, 26)",,"rgb(252, 202, 197)"
52,"('Allison', 0.2284604752188508)",18,"(564, 296)",,"rgb(241, 92, 159)"
53,"('Bella', 0.2283946554334233)",18,"(260, 156)",,"rgb(96, 0, 112)"
54,"('Michelle', 0.22786809715000328)",18,"(726, 114)",,"rgb(229, 69, 154)"
55,"('Alyssa', 0.22122029882182584)",18,"(97, 464)",,"rgb(152, 1, 123)"
56,"('Genesis', 0.21964062397156586)",18,"(304, 181)",,"rgb(253, 216, 213)"
57,"('Naomi', 0.21654709405647338)",18,"(686, 390)",,"rgb(211, 41, 146)"
58,"('Alexa', 0.2137826630685184)",18,"(74, 465)",,"rgb(156, 1, 124)"
59,"('Rivka', 0.2127953662871059)",18,"(334, 94)",,"rgb(211, 41, 146)"
60,"('Gianna', 0.21266372671625092)",18,"(360, 214)",,"rgb(213, 43, 147)"
61,"('Penelope', 0.20746396366747843)",14,"(304, 288)",,"rgb(248, 126, 169)"
62,"('Katherine', 0.20344895675640098)",14,"(760, 303)",,"rgb(163, 1, 125)"
63,"('Amy', 0.202527479760416)",14,"(245, 110)",,"rgb(238, 87, 158)"
64,"('Savannah', 0.201342723622721)",14,"(199, 86)",,"rgb(255, 247, 243)"
65,"('Avery', 0.1998288685578885)",14,"(823, 284)",2.0,"rgb(76, 0, 107)"
66,"('Mila', 0.19601132100309354)",14,"(607, 212)",,"rgb(234, 77, 156)"
67,"('Zoey', 0.19568222207595604)",14,"(92, 417)",2.0,"rgb(99, 1, 113)"
68,"('Alice', 0.19528730336339103)",14,"(662, 283)",2.0,"rgb(247, 108, 163)"
69,"('Natalie', 0.19212795366287105)",14,"(761, 385)",,"rgb(248, 127, 169)"
70,"('Stella', 0.19074573816889356)",14,"(152, 375)",,"rgb(168, 1, 125)"
71,"('Jasmine', 0.1869940103995261)",14,"(155, 220)",2.0,"rgb(254, 239, 235)"
72,"('LONDON', 0.18409793984071612)",14,"(419, 443)",,"rgb(252, 190, 190)"
73,"('Maria', 0.18172842756532614)",14,"(295, 418)",,"rgb(245, 100, 160)"
74,"('Khloe', 0.18067531099848613)",14,"(268, 49)",,"rgb(132, 1, 120)"
75,"('Eliana', 0.17692358322911866)",14,"(467, 423)",,"rgb(174, 1, 126)"
76,"('Aria', 0.17244783782004872)",14,"(227, 267)",,"rgb(224, 58, 152)"
77,"('Serenity', 0.16915684854867374)",14,"(555, 83)",2.0,"rgb(228, 66, 154)"
78,"('Taylor', 0.16658987691700125)",14,"(481, 420)",,"rgb(254, 234, 231)"
79,"('Riley', 0.16520766142302376)",14,"(263, 417)",,"rgb(116, 1, 117)"
80,"('Kylie', 0.16514184163759627)",14,"(832, 190)",2.0,"rgb(249, 134, 172)"
81,"('Kimberly', 0.16323306786019878)",14,"(150, 477)",,"rgb(252, 208, 204)"
82,"('Skylar', 0.16290396893306128)",14,"(317, 100)",,"rgb(253, 217, 214)"
83,"('Vivian', 0.14967419206213387)",14,"(592, 205)",,"rgb(248, 120, 167)"
84,"('ADRIANA', 0.14783123807016388)",14,"(376, 148)",2.0,"rgb(143, 1, 122)"
85,"('CHELSEA', 0.1461857434344764)",14,"(622, 210)",,"rgb(204, 33, 142)"
86,"('Fiona', 0.1455275455802014)",14,"(228, 368)",,"rgb(243, 97, 160)"
87,"('JESSICA', 0.14427696965707892)",14,"(861, 349)",,"rgb(73, 0, 106)"
88,"('Gitty', 0.14348713223194892)",14,"(707, 106)",,"rgb(125, 1, 119)"
89,"('Isabel', 0.14322385309023894)",14,"(152, 156)",2.0,"rgb(252, 204, 200)"
90,"('Lauren', 0.14282893437767394)",14,"(683, 101)",,"rgb(179, 6, 129)"
91,"('Violet', 0.14249983545053643)",14,"(381, 197)",2.0,"rgb(253, 211, 207)"
92,"('Laila', 0.14177581781083393)",14,"(206, 177)",,"rgb(250, 155, 180)"
93,"('Claire', 0.14157835845455144)",14,"(602, 149)",2.0,"rgb(250, 155, 180)"
94,"('Jade', 0.13999868360429146)",14,"(888, 214)",,"rgb(236, 82, 157)"
95,"('Angela', 0.13966958467715396)",14,"(482, 149)",2.0,"rgb(253, 212, 208)"
96,"('Ariel', 0.13947212532087144)",14,"(75, 394)",,"rgb(105, 1, 115)"
97,"('Fatima', 0.13914302639373397)",14,"(175, 283)",,"rgb(254, 235, 232)"
98,"('Rebecca', 0.13881392746659646)",14,"(306, 416)",,"rgb(253, 219, 215)"
99,"('Audrey', 0.13795827025603896)",14,"(497, 89)",,"rgb(251, 170, 184)"
100,"('Kaitlyn', 0.135457118409794)",14,"(104, 260)",2.0,"rgb(250, 158, 181)"
101,"('Malka', 0.13433818205752648)",14,"(875, 198)",,"rgb(198, 27, 139)"
102,"('Madeline', 0.1338116237741065)",14,"(453, 58)",2.0,"rgb(254, 238, 234)"
103,"('Faigy', 0.133614164417824)",14,"(362, 288)",2.0,"rgb(254, 238, 235)"
104,"('GABRIELA', 0.13170539064042652)",14,"(206, 426)",,"rgb(252, 201, 196)"
105,"('Caroline', 0.13091555321529652)",14,"(284, 373)",2.0,"rgb(250, 162, 182)"
106,"('MAKAYLA', 0.12841440136905155)",14,"(321, 488)",2.0,"rgb(255, 242, 238)"
107,"('Faith', 0.12795366287105905)",14,"(553, 148)",,"rgb(87, 0, 110)"
108,"('Amaya', 0.12749292437306656)",14,"(163, 385)",,"rgb(238, 87, 158)"
109,"('Emilia', 0.12657144737708156)",14,"(378, 373)",2.0,"rgb(253, 219, 215)"
110,"('Malky', 0.12611070887908907)",14,"(431, 200)",2.0,"rgb(214, 45, 147)"
111,"('Catherine', 0.12518923188310407)",12,"(535, 83)",,"rgb(254, 232, 229)"
112,"('AMANDA', 0.12466267359968407)",12,"(455, 421)",,"rgb(221, 53, 151)"
113,"('Isabelle', 0.12367537681827158)",12,"(183, 468)",,"rgb(251, 176, 186)"
114,"('Alina', 0.12301717896399658)",12,"(787, 156)",2.0,"rgb(251, 174, 185)"
115,"('Elena', 0.12295135917856907)",12,"(221, 230)",,"rgb(177, 5, 128)"
116,"('Nina', 0.12275389982228659)",12,"(386, 118)",,"rgb(250, 153, 179)"
117,"('Valerie', 0.12235898110972158)",12,"(349, 91)",,"rgb(150, 1, 123)"
118,"('NEVAEH', 0.12229316132429409)",12,"(257, 41)",,"rgb(253, 228, 225)"
119,"('Luna', 0.12156914368459158)",12,"(745, 319)",,"rgb(140, 1, 121)"
120,"('Raizy', 0.1205160271177516)",12,"(237, 335)",2.0,"rgb(119, 1, 118)"
121,"('Aubrey', 0.11952873033633911)",12,"(904, 327)",,"rgb(119, 1, 118)"
122,"('Eleanor', 0.11735667741723162)",12,"(921, 271)",,"rgb(237, 84, 157)"
123,"('Lillian', 0.11722503784637663)",12,"(305, 32)",,"rgb(254, 237, 233)"
124,"('JENNIFER', 0.11689593891923912)",12,"(94, 291)",2.0,"rgb(251, 181, 187)"
125,"('Stephanie', 0.11669847956295662)",10,"(620, 276)",,"rgb(214, 45, 147)"
126,"('VANESSA', 0.11590864213782663)",10,"(303, 385)",2.0,"rgb(238, 85, 157)"
127,"('DANIELA', 0.11518462449812414)",10,"(65, 468)",,"rgb(251, 170, 184)"
128,"('SABRINA', 0.11340749029158165)",10,"(417, 327)",,"rgb(251, 174, 185)"
129,"('Ruby', 0.11321003093529915)",10,"(395, 406)",2.0,"rgb(116, 1, 117)"
130,"('Brielle', 0.11176199565589416)",10,"(619, 83)",,"rgb(252, 198, 194)"
131,"('Mariam', 0.11110379780161916)",10,"(475, 162)",,"rgb(249, 141, 174)"
132,"('Natalia', 0.11077469887448167)",10,"(115, 347)",2.0,"rgb(236, 82, 157)"
133,"('Rose', 0.11037978016191667)",10,"(703, 352)",2.0,"rgb(194, 22, 136)"
134,"('Diana', 0.10873428552622919)",10,"(195, 167)",,"rgb(249, 134, 172)"
135,"('Sienna', 0.1079444481010992)",10,"(242, 181)",,"rgb(189, 17, 134)"
136,"('GABRIELLE', 0.1070887908905417)",10,"(616, 439)",2.0,"rgb(255, 243, 240)"
137,"('DESTINY', 0.1069571513196867)",10,"(212, 116)",,"rgb(205, 35, 143)"
138,"('Sydney', 0.1068255117488317)",10,"(692, 380)",2.0,"rgb(248, 122, 168)"
139,"('Daniella', 0.10392944119002172)",10,"(92, 485)",,"rgb(247, 112, 164)"
140,"('Shaindy', 0.10379780161916673)",10,"(148, 231)",2.0,"rgb(247, 105, 161)"
141,"('Rivky', 0.10307378397946422)",10,"(479, 242)",2.0,"rgb(107, 1, 115)"
142,"('Jayla', 0.10267886526689923)",10,"(714, 335)",2.0,"rgb(248, 124, 168)"
143,"('Lucy', 0.10234976633976173)",10,"(776, 271)",2.0,"rgb(217, 48, 149)"
144,"('Melody', 0.10182320805634174)",10,"(523, 162)",,"rgb(254, 231, 228)"
145,"('TIFFANY', 0.10030935299150925)",10,"(536, 68)",2.0,"rgb(250, 162, 182)"
146,"('Emely', 0.10011189363522675)",10,"(567, 275)",2.0,"rgb(163, 1, 125)"
147,"('Peyton', 0.09971697492266175)",10,"(786, 181)",2.0,"rgb(243, 97, 160)"
148,"('Juliet', 0.09793984071611926)",10,"(693, 100)",,"rgb(229, 69, 154)"
149,"('Leila', 0.09747910221812676)",10,"(251, 171)",,"rgb(253, 218, 215)"
150,"('Juliana', 0.09715000329098927)",10,"(834, 394)",,"rgb(254, 233, 229)"
151,"('Juliette', 0.09708418350556178)",10,"(111, 496)",,"rgb(255, 242, 238)"
152,"('Amber', 0.09675508457842427)",10,"(358, 76)",2.0,"rgb(104, 1, 114)"
153,"('Nyla', 0.09649180543671428)",10,"(327, 393)",2.0,"rgb(253, 212, 208)"
154,"('Mya', 0.09622852629500428)",10,"(92, 387)",2.0,"rgb(247, 110, 163)"
155,"('JOCELYN', 0.09379319423418679)",10,"(373, 453)",2.0,"rgb(252, 209, 205)"
156,"('Nora', 0.09267425788191931)",10,"(121, 532)",2.0,"rgb(176, 3, 127)"
157,"('Liliana', 0.0919502402422168)",10,"(761, 258)",2.0,"rgb(85, 0, 109)"
158,"('Paige', 0.08938326861054433)",10,"(418, 305)",2.0,"rgb(158, 1, 124)"
159,"('Harper', 0.08925162903968933)",10,"(274, 181)",,"rgb(252, 208, 204)"
160,"('Amina', 0.08911998946883433)",10,"(426, 328)",2.0,"rgb(249, 136, 173)"
161,"('Baila', 0.08905416968340683)",10,"(580, 118)",,"rgb(250, 168, 184)"
162,"('CHRISTINA', 0.08905416968340683)",10,"(120, 446)",,"rgb(211, 41, 146)"
163,"('Kiara', 0.08898834989797934)",10,"(136, 165)",,"rgb(238, 85, 157)"
164,"('Annabelle', 0.08885671032712433)",10,"(455, 335)",,"rgb(229, 69, 154)"
165,"('Lia', 0.08859343118541434)",10,"(711, 433)",2.0,"rgb(216, 46, 148)"
166,"('Andrea', 0.08740867504771935)",10,"(771, 207)",2.0,"rgb(254, 236, 233)"
167,"('Talia', 0.08688211676429936)",10,"(489, 206)",2.0,"rgb(246, 102, 161)"
168,"('Ivy', 0.08642137826630686)",10,"(878, 380)",,"rgb(253, 215, 211)"
169,"('Fatoumata', 0.08628973869545185)",10,"(816, 207)",2.0,"rgb(78, 0, 107)"
170,"('Toby', 0.08569736062660435)",10,"(494, 442)",,"rgb(255, 245, 241)"
171,"('Devorah', 0.08543408148489436)",10,"(566, 399)",,"rgb(104, 1, 114)"
172,"('Sadie', 0.08517080234318436)",10,"(567, 96)",2.0,"rgb(248, 129, 170)"
173,"('Morgan', 0.08464424405976437)",10,"(361, 335)",2.0,"rgb(254, 237, 233)"
174,"('Yitty', 0.08385440663463437)",10,"(561, 230)",,"rgb(251, 175, 186)"
175,"('Nylah', 0.08352530770749687)",10,"(251, 422)",,"rgb(250, 166, 183)"
176,"('Lucia', 0.08299874942407688)",10,"(766, 132)",,"rgb(253, 224, 221)"
177,"('MELISSA', 0.08299874942407688)",10,"(236, 86)",,"rgb(105, 1, 115)"
178,"('Aisha', 0.08273547028236689)",10,"(215, 254)",,"rgb(252, 192, 191)"
179,"('Ellie', 0.08253801092608438)",10,"(221, 382)",,"rgb(87, 0, 110)"
180,"('Mackenzie', 0.0813532547883894)",10,"(688, 222)",2.0,"rgb(248, 127, 169)"
181,"('Leslie', 0.08122161521753439)",10,"(599, 164)",,"rgb(177, 5, 128)"
182,"('Summer', 0.0804975975778319)",10,"(190, 97)",,"rgb(194, 22, 136)"
183,"('Aliyah', 0.0799710392944119)",10,"(322, 173)",2.0,"rgb(247, 112, 164)"
184,"('Leilani', 0.07931284144013691)",10,"(873, 276)",,"rgb(110, 1, 116)"
185,"('Ariella', 0.07924702165470941)",10,"(454, 108)",,"rgb(115, 1, 117)"
186,"('Josephine', 0.07753570723359442)",10,"(566, 377)",2.0,"rgb(208, 38, 144)"
187,"('Iris', 0.07746988744816692)",10,"(176, 392)",,"rgb(145, 1, 122)"
188,"('JACQUELINE', 0.07733824787731192)",7,"(342, 322)",,"rgb(248, 115, 165)"
189,"('Alexis', 0.07687750937931942)",7,"(777, 239)",2.0,"rgb(166, 1, 125)"
190,"('Lila', 0.07674586980846443)",7,"(93, 302)",,"rgb(158, 1, 124)"
191,"('Brooke', 0.07661423023760942)",7,"(641, 430)",2.0,"rgb(201, 30, 140)"
192,"('Ana', 0.07648259066675443)",7,"(323, 422)",,"rgb(240, 90, 158)"
193,"('Autumn', 0.07602185216876194)",7,"(702, 391)",2.0,"rgb(253, 214, 210)"
194,"('Gia', 0.07516619495820444)",7,"(652, 338)",2.0,"rgb(158, 1, 124)"
195,"('Chava', 0.07437635753307444)",7,"(815, 305)",,"rgb(254, 232, 229)"
196,"('Valeria', 0.07371815967879945)",7,"(661, 238)",,"rgb(254, 235, 232)"
197,"('Madelyn', 0.07352070032251695)",7,"(65, 416)",,"rgb(125, 1, 119)"
198,"('MARIAH', 0.07352070032251695)",7,"(740, 143)",,"rgb(180, 8, 129)"
199,"('Zara', 0.07325742118080696)",7,"(288, 296)",2.0,"rgb(75, 0, 106)"
200,"('Clara', 0.07319160139537945)",7,"(381, 262)",,"rgb(250, 157, 180)"
201,"('Sarai', 0.07299414203909695)",7,"(684, 158)",,"rgb(248, 115, 165)"
202,"('Dina', 0.07259922332653196)",7,"(849, 417)",2.0,"rgb(253, 220, 216)"
203,"('Hindy', 0.07253340354110445)",7,"(110, 381)",,"rgb(247, 107, 162)"
204,"('Heaven', 0.07233594418482196)",7,"(871, 342)",,"rgb(102, 1, 114)"
205,"('ADRIANNA', 0.07207266504311195)",7,"(329, 258)",2.0,"rgb(207, 37, 143)"
206,"('KELLY', 0.07194102547225696)",7,"(799, 268)",,"rgb(234, 77, 156)"
207,"('Giselle', 0.07134864740340946)",7,"(393, 259)",,"rgb(148, 1, 123)"
208,"('Chany', 0.07134864740340946)",7,"(766, 268)",,"rgb(249, 141, 174)"
209,"('Julianna', 0.07036135062199697)",7,"(818, 252)",2.0,"rgb(252, 208, 204)"
210,"('KAREN', 0.07036135062199697)",7,"(903, 226)",,"rgb(93, 0, 111)"
211,"('Molly', 0.07016389126571447)",7,"(799, 302)",,"rgb(249, 145, 176)"
212,"('Joanna', 0.07003225169485948)",7,"(691, 299)",,"rgb(160, 1, 124)"
213,"('Delilah', 0.06996643190943197)",7,"(450, 282)",,"rgb(253, 228, 225)"
214,"('JADA', 0.06937405384058448)",7,"(773, 132)",,"rgb(91, 0, 111)"
215,"('Cecilia', 0.06891331534259199)",7,"(785, 437)",2.0,"rgb(217, 48, 149)"
216,"('Kate', 0.06878167577173698)",7,"(84, 315)",,"rgb(254, 235, 232)"
217,"('Maryam', 0.06858421641545448)",7,"(494, 250)",2.0,"rgb(252, 204, 200)"
218,"('Phoebe', 0.06805765813203449)",7,"(316, 49)",,"rgb(244, 98, 160)"
219,"('Alana', 0.06766273941946949)",7,"(522, 264)",,"rgb(216, 46, 148)"
220,"('Madeleine', 0.0662147041400645)",7,"(766, 444)",2.0,"rgb(249, 141, 174)"
221,"('Athena', 0.0662147041400645)",7,"(645, 241)",,"rgb(121, 1, 119)"
222,"('Francesca', 0.066017244783782)",7,"(641, 168)",,"rgb(250, 166, 183)"
223,"('Paris', 0.0659514249983545)",7,"(465, 275)",,"rgb(251, 185, 188)"
224,"('SKYLA', 0.065359046929507)",7,"(510, 446)",2.0,"rgb(248, 126, 169)"
225,"('JAYLEEN', 0.06516158757322452)",7,"(575, 175)",,"rgb(250, 158, 181)"
226,"('Hazel', 0.06443756993352201)",7,"(305, 108)",,"rgb(253, 228, 224)"
227,"('Anaya', 0.06410847100638452)",7,"(596, 279)",,"rgb(251, 184, 188)"
228,"('Arielle', 0.06404265122095702)",7,"(824, 297)",,"rgb(130, 1, 120)"
229,"('GIULIANA', 0.06259461594155204)",7,"(707, 442)",2.0,"rgb(87, 0, 110)"
230,"('Amira', 0.06173895873099454)",7,"(396, 211)",,"rgb(166, 1, 125)"
231,"('Nia', 0.06127822023300204)",7,"(389, 72)",,"rgb(249, 145, 176)"
232,"('DAISY', 0.06068584216415455)",7,"(272, 456)",,"rgb(248, 120, 167)"
233,"('Arya', 0.060620022378727045)",7,"(547, 76)",2.0,"rgb(119, 1, 118)"
234,"('BATSHEVA', 0.06055420259329954)",7,"(93, 408)",2.0,"rgb(76, 0, 107)"
235,"('Danna', 0.06015928388073455)",7,"(268, 371)",,"rgb(237, 84, 157)"
236,"('ANIYAH', 0.05996182452445205)",7,"(157, 167)",2.0,"rgb(222, 54, 151)"
237,"('MIKAYLA', 0.059435266241032056)",7,"(328, 199)",,"rgb(163, 1, 125)"
238,"('Eloise', 0.05857960903047456)",7,"(245, 297)",2.0,"rgb(254, 236, 233)"
239,"('Vivienne', 0.05851378924504706)",7,"(56, 466)",,"rgb(249, 136, 173)"
240,"('Beatrice', 0.058382149674192065)",7,"(630, 278)",,"rgb(130, 1, 120)"
241,"('Danielle', 0.05752649246363457)",7,"(712, 310)",2.0,"rgb(241, 92, 159)"
242,"('Noa', 0.05746067267820707)",7,"(807, 313)",,"rgb(250, 157, 180)"
243,"('Yaretzi', 0.05732903310735207)",7,"(913, 329)",,"rgb(233, 75, 156)"
244,"('Bianca', 0.056999934180214575)",7,"(446, 186)",2.0,"rgb(255, 247, 243)"
245,"('KATELYN', 0.05693411439478707)",7,"(541, 342)",,"rgb(226, 62, 153)"
246,"('Angelica', 0.05640755611136708)",7,"(394, 394)",2.0,"rgb(252, 203, 198)"
247,"('Tenzin', 0.05568353847166458)",7,"(725, 231)",,"rgb(177, 5, 128)"
248,"('Liana', 0.05535443954452708)",7,"(800, 353)",,"rgb(252, 207, 203)"
249,"('Eliza', 0.05522279997367208)",7,"(871, 392)",,"rgb(255, 247, 243)"
250,"('Margaret', 0.05515698018824459)",7,"(507, 275)",,"rgb(108, 1, 115)"
251,"('Serena', 0.055091160402817085)",7,"(710, 362)",2.0,"rgb(251, 185, 188)"
252,"('Alessandra', 0.05502534061738959)",7,"(457, 97)",2.0,"rgb(254, 233, 229)"
253,"('Crystal', 0.05469624169025209)",7,"(237, 349)",2.0,"rgb(254, 241, 237)"
254,"('Addison', 0.05430132297768709)",7,"(235, 410)",,"rgb(229, 69, 154)"
255,"('Helen', 0.05416968340683209)",7,"(317, 341)",,"rgb(251, 182, 188)"
256,"('Libby', 0.0533798459817021)",7,"(192, 496)",,"rgb(253, 221, 217)"
257,"('Rochel', 0.0532482064108471)",7,"(425, 361)",,"rgb(243, 95, 159)"
258,"('Sury', 0.0532482064108471)",7,"(704, 255)",,"rgb(254, 239, 235)"
259,"('Selena', 0.053050747054564605)",7,"(183, 393)",,"rgb(140, 1, 121)"
260,"('Isla', 0.052853287698282105)",7,"(675, 432)",,"rgb(252, 193, 191)"
261,"('ALICIA', 0.0527874679128546)",7,"(784, 384)",,"rgb(250, 160, 181)"
262,"('Goldy', 0.05259000855657211)",7,"(266, 237)",,"rgb(251, 181, 187)"
263,"('Pearl', 0.05239254920028961)",7,"(779, 138)",,"rgb(253, 220, 216)"
264,"('IMANI', 0.051471072204304615)",7,"(887, 380)",,"rgb(254, 241, 237)"
265,"('Lea', 0.05140525241887711)",7,"(427, 118)",,"rgb(254, 241, 237)"
266,"('Yocheved', 0.051339432633449616)",7,"(155, 189)",2.0,"rgb(253, 217, 214)"
267,"('Laura', 0.05107615349173962)",7,"(644, 336)",,"rgb(251, 173, 185)"
268,"('KAMILA', 0.05101033370631212)",7,"(360, 308)",,"rgb(186, 14, 132)"
269,"('Nechama', 0.05101033370631212)",7,"(165, 264)",,"rgb(251, 187, 189)"
270,"('Pessy', 0.05087869413545712)",7,"(174, 238)",2.0,"rgb(248, 129, 170)"
271,"('Anastasia', 0.05081287435002962)",7,"(228, 326)",2.0,"rgb(255, 243, 240)"
272,"('JOYCE', 0.05074705456460212)",7,"(642, 84)",,"rgb(225, 61, 153)"
273,"('Eileen', 0.05035213585203712)",7,"(422, 418)",,"rgb(87, 0, 110)"
274,"('Melany', 0.050286316066609625)",7,"(602, 315)",,"rgb(231, 72, 155)"
275,"('Aylin', 0.050286316066609625)",7,"(524, 112)",,"rgb(248, 127, 169)"
276,"('SASHA', 0.05022049628118212)",7,"(652, 240)",,"rgb(247, 112, 164)"
277,"('Blima', 0.04982557756861713)",7,"(253, 212)",2.0,"rgb(252, 202, 197)"
278,"('Fraidy', 0.04962811821233463)",7,"(124, 176)",,"rgb(93, 0, 111)"
279,"('Blimy', 0.049562298426907125)",7,"(567, 151)",2.0,"rgb(202, 32, 141)"
280,"('Malia', 0.04936483907062463)",7,"(768, 229)",,"rgb(208, 38, 144)"
281,"('VERONICA', 0.04910155992891463)",7,"(317, 162)",2.0,"rgb(251, 186, 189)"
282,"('Trinity', 0.04910155992891463)",7,"(592, 254)",2.0,"rgb(173, 1, 126)"
283,"('Megan', 0.04903574014348713)",7,"(650, 155)",2.0,"rgb(254, 241, 237)"
284,"('Aminata', 0.04896992035805963)",7,"(299, 67)",,"rgb(250, 158, 181)"
285,"('Milan', 0.04896992035805963)",7,"(216, 455)",,"rgb(129, 1, 120)"
286,"('Mindy', 0.04877246100177714)",7,"(332, 414)",,"rgb(254, 236, 233)"
287,"('Zissy', 0.048706641216349635)",7,"(243, 374)",2.0,"rgb(251, 184, 188)"
288,"('Yides', 0.04864082143092213)",7,"(621, 173)",,"rgb(249, 148, 177)"
289,"('Kennedy', 0.048509181860067134)",7,"(239, 230)",,"rgb(252, 192, 191)"
290,"('ALISON', 0.048509181860067134)",7,"(638, 381)",,"rgb(253, 220, 216)"
291,"('KATIE', 0.04811426314750214)",7,"(692, 350)",,"rgb(251, 170, 184)"
292,"('Lena', 0.04765352464950964)",7,"(544, 180)",,"rgb(251, 179, 187)"
293,"('ANGEL', 0.04765352464950964)",7,"(539, 433)",,"rgb(182, 9, 130)"
294,"('Eden', 0.04758770486408214)",7,"(242, 428)",,"rgb(251, 184, 188)"
295,"('MCKENZIE', 0.047521885078654645)",7,"(475, 377)",2.0,"rgb(250, 162, 182)"
